data,rodada,mandante,visitante,gols_mandante,gols_visitante,competicao
2015-05-09,1,Chapecoense,Coritiba,2,1,Brasileirao Serie A 2015
2015-05-09,1,Fluminense,Joinville,1,0,Brasileirao Serie A 2015
2015-05-09,1,Palmeiras,Atletico-MG,2,2,Brasileirao Serie A 2015
2015-05-10,1,Athletico-PR,Internacional,3,0,Brasileirao Serie A 2015
2015-05-10,1,Avai,Santos,1,1,Brasileirao Serie A 2015
2015-05-10,1,Cruzeiro,Corinthians,0,1,Brasileirao Serie A 2015
2015-05-10,1,Gremio,Ponte Preta,3,3,Brasileirao Serie A 2015
2015-05-10,1,Sao Paulo,Flamengo,2,1,Brasileirao Serie A 2015
2015-05-10,1,Sport,Figueirense,4,1,Brasileirao Serie A 2015
2015-05-10,1,Vasco,Goias,0,0,Brasileirao Serie A 2015
2015-05-16,2,Corinthians,Chapecoense,1,0,Brasileirao Serie A 2015
2015-05-16,2,Coritiba,Gremio,2,0,Brasileirao Serie A 2015
2015-05-16,2,Goias,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-05-17,2,Atletico-MG,Fluminense,4,1,Brasileirao Serie A 2015
2015-05-17,2,Figueirense,Vasco,0,0,Brasileirao Serie A 2015
2015-05-17,2,Flamengo,Sport,2,2,Brasileirao Serie A 2015
2015-05-17,2,Internacional,Avai,1,0,Brasileirao Serie A 2015
2015-05-17,2,Joinville,Palmeiras,0,0,Brasileirao Serie A 2015
2015-05-17,2,Ponte Preta,Sao Paulo,1,0,Brasileirao Serie A 2015
2015-05-17,2,Santos,Cruzeiro,1,0,Brasileirao Serie A 2015
2015-05-23,3,Gremio,Figueirense,1,0,Brasileirao Serie A 2015
2015-05-23,3,Sao Paulo,Joinville,3,0,Brasileirao Serie A 2015
2015-05-23,3,Vasco,Internacional,1,1,Brasileirao Serie A 2015
2015-05-24,3,Athletico-PR,Atletico-MG,1,0,Brasileirao Serie A 2015
2015-05-24,3,Avai,Flamengo,2,1,Brasileirao Serie A 2015
