data,rodada,mandante,visitante,competicao,escanteios_mandante,escanteios_visitante,chutes_mandante,chutes_visitante,chutes_no_alvo_mandante,chutes_no_alvo_visitante,cartao_amarelo_mandante,cartao_amarelo_visitante,faltas_mandante,faltas_visitante
2015-05-09,1,Chapecoense,Coritiba,Brasileirao Serie A 2015,3,5,13,16,,,2,2,20,21
2015-05-09,1,Fluminense,Joinville,Brasileirao Serie A 2015,5,3,26,3,,,2,0,9,14
2015-05-09,1,Palmeiras,Atletico-MG,Brasileirao Serie A 2015,11,2,17,10,,,2,4,20,14
2015-05-10,1,Athletico-PR,Internacional,Brasileirao Serie A 2015,2,11,10,17,,,1,2,17,17
2015-05-10,1,Avai,Santos,Brasileirao Serie A 2015,4,3,16,8,,,2,1,10,11
2015-05-10,1,Cruzeiro,Corinthians,Brasileirao Serie A 2015,2,4,13,11,,,3,1,17,15
2015-05-10,1,Gremio,Ponte Preta,Brasileirao Serie A 2015,5,10,11,17,,,3,4,17,21
2015-05-10,1,Sao Paulo,Flamengo,Brasileirao Serie A 2015,4,6,19,12,,,2,1,17,12
2015-05-10,1,Sport,Figueirense,Brasileirao Serie A 2015,7,1,17,7,,,1,2,17,14
2015-05-10,1,Vasco,Goias,Brasileirao Serie A 2015,4,2,11,5,,,3,5,16,27
2015-05-16,2,Corinthians,Chapecoense,Brasileirao Serie A 2015,7,2,13,11,,,2,4,16,13
2015-05-16,2,Coritiba,Gremio,Brasileirao Serie A 2015,2,4,9,10,,,2,3,22,13
2015-05-16,2,Goias,Athletico-PR,Brasileirao Serie A 2015,6,5,13,8,,,2,1,14,18
2015-05-17,2,Atletico-MG,Fluminense,Brasileirao Serie A 2015,7,0,16,8,,,2,1,17,9
2015-05-17,2,Figueirense,Vasco,Brasileirao Serie A 2015,6,7,12,14,,,2,6,18,13
2015-05-17,2,Flamengo,Sport,Brasileirao Serie A 2015,13,3,18,14,,,2,3,10,7
2015-05-17,2,Internacional,Avai,Brasileirao Serie A 2015,4,9,8,6,,,3,7,17,26
2015-05-17,2,Joinville,Palmeiras,Brasileirao Serie A 2015,1,5,8,11,,,3,1,17,12
2015-05-17,2,Ponte Preta,Sao Paulo,Brasileirao Serie A 2015,6,4,19,10,,,1,3,15,14
2015-05-17,2,Santos,Cruzeiro,Brasileirao Serie A 2015,15,3,20,7,,,1,4,18,13
2015-05-23,3,Gremio,Figueirense,Brasileirao Serie A 2015,11,4,19,5,,,6,5,16,24
2015-05-23,3,Sao Paulo,Joinville,Brasileirao Serie A 2015,5,0,16,7,,,2,0,12,11
2015-05-23,3,Vasco,Internacional,Brasileirao Serie A 2015,8,1,13,7,,,6,2,15,16
2015-05-24,3,Athletico-PR,Atletico-MG,Brasileirao Serie A 2015,2,9,11,16,,,4,0,7,8
2015-05-24,3,Avai,Flamengo,Brasileirao Serie A 2015,4,2,13,8,,,5,6,15,17
2015-05-24,3,Chapecoense,Santos,Brasileirao Serie A 2015,4,5,13,15,,,5,6,13,20
2015-05-24,3,Cruzeiro,Ponte Preta,Brasileirao Serie A 2015,16,3,22,15,,,2,2,17,11
2015-05-24,3,Fluminense,Corinthians,Brasileirao Serie A 2015,9,6,15,7,,,2,2,19,6
2015-05-24,3,Palmeiras,Goias,Brasileirao Serie A 2015,13,6,21,7,,,6,4,13,24
2015-05-24,3,Sport,Coritiba,Brasileirao Serie A 2015,2,5,12,9,,,1,4,13,17
2015-05-30,4,Coritiba,Avai,Brasileirao Serie A 2015,5,3,11,11,,,4,4,17,21
2015-05-30,4,Joinville,Athletico-PR,Brasileirao Serie A 2015,4,7,10,19,,,0,4,12,13
2015-05-30,4,Ponte Preta,Chapecoense,Brasileirao Serie A 2015,0,4,13,14,,,4,1,20,15
2015-05-31,4,Atletico-MG,Vasco,Brasileirao Serie A 2015,5,7,21,9,,,0,3,16,12
2015-05-31,4,Corinthians,Palmeiras,Brasileirao Serie A 2015,2,6,9,12,,,5,5,21,21
2015-05-31,4,Figueirense,Cruzeiro,Brasileirao Serie A 2015,5,4,9,22,,,3,5,17,11
2015-05-31,4,Flamengo,Fluminense,Brasileirao Serie A 2015,8,1,15,7,,,5,3,24,23
2015-05-31,4,Goias,Gremio,Brasileirao Serie A 2015,2,3,10,9,,,1,1,14,14
2015-05-31,4,Internacional,Sao Paulo,Brasileirao Serie A 2015,5,10,8,14,,,3,0,19,17
2015-05-31,4,Santos,Sport,Brasileirao Serie A 2015,8,7,18,15,,,1,2,9,11
2015-06-03,5,Athletico-PR,Figueirense,Brasileirao Serie A 2015,6,4,12,9,,,1,4,12,8
2015-06-03,5,Avai,Atletico-MG,Brasileirao Serie A 2015,10,7,7,16,,,3,3,12,15
